wav,fnu
13.0708,1.114200
13.0805,1.114060
13.0909,1.108450
13.1010,1.107860
13.1111,1.095190
13.1212,1.071590
13.1313,1.102410
13.1410,1.090690
13.1515,1.099730
13.1616,1.081100
13.1717,1.044170
13.1819,1.081160
13.1920,1.121810
13.2017,1.113180
13.2123,1.133540
13.2225,1.122380
13.2326,1.092570
13.2428,1.043880
13.2530,1.067990
13.2624,1.103820
13.2734,1.140720
13.2836,1.130690
13.2939,1.075960
13.3041,1.019800
13.3143,1.071270
13.3233,1.085660
13.3348,1.094140
13.3451,1.083970
13.3554,1.087030
13.3656,1.078730
13.3759,1.068260
13.3844,1.077240
13.3965,1.053540
13.4068,1.080810
13.4171,1.105070
13.4275,1.122240
13.4378,1.089950
13.4455,1.107670
13.4585,1.115930
13.4689,1.086830
13.4792,1.133360
13.4896,1.183360
13.5017,1.151070
13.5104,1.142560
13.5208,1.155310
13.5312,1.163410
13.5416,1.161890
13.5520,1.165820
13.5632,1.146190
13.5729,1.127610
13.5833,1.126940
13.5938,1.147430
13.6042,1.167170
13.6147,1.163950
13.6249,1.132230
13.6356,1.154320
13.6461,1.177060
13.6566,1.152960
13.6671,1.162730
13.6777,1.149630
13.6866,1.155250
13.6987,1.162600
13.7093,1.129940
13.7198,1.104160
13.7304,1.146130
13.7432,1.157040
13.7515,1.187660
13.7621,1.149560
13.7727,1.149780
13.7833,1.196000
13.7939,1.168580
13.8052,1.145550
13.8151,1.173700
13.8258,1.210490
13.8364,1.186080
13.8470,1.188170
13.8577,1.174260
13.8674,1.149770
13.8790,1.189430
13.8897,1.243100
13.9004,1.233800
13.9111,1.201000
13.9243,1.165120
13.9325,1.227640
13.9432,1.213110
13.9540,1.178470
13.9647,1.212920
13.9755,1.285320
13.9868,1.167090
13.9970,1.183100
14.0077,1.273150
14.0185,1.228750
14.0293,1.230730
14.0401,1.244720
14.0509,1.245200
14.0617,1.223530
14.0725,1.199290
14.0834,1.204930
14.0942,1.230170
14.1051,1.243410
14.1159,1.238040
14.1268,1.175550
14.1376,1.139450
14.1485,1.187130
14.1594,1.260940
14.1703,1.231930
14.1812,1.161230
14.1921,1.133530
14.2030,1.174810
14.2140,1.189250
14.2249,1.183130
14.2359,1.180620
14.2468,1.142450
14.2578,1.183360
14.2688,1.178480
14.2797,1.156040
14.2907,1.157610
14.3017,1.173490
14.3127,1.177440
14.3237,1.213550
14.3348,1.230250
14.3458,1.212370
14.3568,1.188990
14.3679,1.206970
14.3789,1.208800
14.3900,1.205150
14.4011,1.201050
14.4122,1.170950
14.4232,1.183240
14.4343,1.245660
14.4454,1.240390
14.4566,1.252810
14.4677,1.232670
14.4788,1.240940
14.4900,1.237610
14.5011,1.226860
14.5123,1.218860
14.5234,1.252970
14.5346,1.208990
14.5458,1.214700
14.5570,1.248530
14.5682,1.217910
14.5794,1.232260
14.5906,1.248200
14.6019,1.275910
14.6131,1.303630
14.6243,1.307640
14.6356,1.297810
14.6469,1.311790
14.6581,1.305520
14.6694,1.247370
14.6807,1.279560
14.6920,1.306290
14.7033,1.292240
14.7146,1.283180
14.7259,1.303560
14.7373,1.294970
14.7486,1.295150
14.7600,1.297930
14.7713,1.328970
14.7827,1.305610
14.7941,1.312790
14.8054,1.285420
14.8168,1.305520
14.8282,1.295480
14.8397,1.306060
14.8511,1.300780
14.8625,1.380110
14.8739,1.365680
14.8854,1.411180
14.8968,1.407010
14.9083,1.347640
14.9198,1.329010
14.9312,1.401130
14.9427,1.366050
14.9542,1.356320
14.9657,1.339230
14.9773,1.286290
14.9888,1.307750
15.0003,1.279230
15.0119,1.280070
15.0234,1.293500
15.0350,1.308460
15.0465,1.347910
15.0581,1.398790
15.0697,1.348990
15.0813,1.366670
15.0929,1.405620
15.1045,1.339670
15.1162,1.282810
15.1278,1.297480
15.1394,1.286850
15.1511,1.285070
15.1627,1.280590
15.1744,1.324810
15.1861,1.321160
15.1978,1.316730
15.2095,1.264170
15.2212,1.307340
15.2329,1.371300
15.2446,1.386300
15.2563,1.387790
15.2681,1.282620
15.2798,1.345440
15.2916,1.339510
15.3034,1.293240
15.3151,1.310810
15.3269,1.353780
15.3387,1.303450
15.3505,1.300830
15.3623,1.308850
15.3742,1.352040
15.3860,1.372990
15.3978,1.352770
15.4097,1.416900
15.4215,1.362500
15.4334,1.347420
15.4453,1.333750
15.4572,1.288210
15.4691,1.322830
15.4810,1.339070
15.4929,1.311380
15.5048,1.302040
15.5167,1.340420
15.5287,1.364010
15.5406,1.351780
15.5526,1.385140
15.5645,1.355730
15.5765,1.358400
15.5885,1.364800
15.6005,1.411180
15.6125,1.378170
15.6245,1.359660
15.6365,1.364270
15.6486,1.388180
15.6606,1.393300
15.6727,1.419140
15.6847,1.383360
15.6968,1.399870
15.7089,1.432030
15.7210,1.425140
15.7331,1.441610
15.7452,1.436100
15.7573,1.478650
15.7694,1.477570
15.7815,1.473090
15.7937,1.443410
15.8058,1.455380
15.8180,1.504840
15.8302,1.493060
15.8424,1.505820
15.8546,1.482370
15.8667,1.492340
15.8790,1.572060
15.8912,1.548370
15.9034,1.535050
15.9157,1.565400
15.9279,1.571960
15.9402,1.559600
15.9524,1.532420
15.9647,1.547950
15.9770,1.553260
15.9893,1.609930
16.0016,1.567030
16.0139,1.607200
16.0262,1.645260
16.0385,1.634960
16.0509,1.610170
16.0632,1.585210
16.0756,1.505570
16.0880,1.546220
16.1003,1.572350
16.1127,1.619540
16.1251,1.628030
16.1376,1.614520
16.1500,1.606780
16.1624,1.621120
16.1748,1.593610
16.1873,1.644400
16.1997,1.700120
16.2122,1.679680
16.2247,1.663870
16.2372,1.643260
16.2497,1.671490
16.2622,1.753340
16.2747,1.710390
