JD,Magnitude,Observer Code
2452308.2611,11.8,RMQ
2452308.2799,11.7,MUY
2452311.3236,11.7,MUY
2452315.3743,11.7,MUY
2452320.3042,11.5,MUY
2452321.259,11.7,RMQ
2452321.3104,11.5,MUY
2452322.2722,11.7,RMQ
2452322.2903,11.5,MUY
2452323.2965,11.5,MUY
2452324.2875,11.6,MUY
2452329.3021,11.6,MUY
2452333.2986,11.6,MUY
2452334.3097,11.7,MUY
2452335.2917,11.7,MUY
2452343.2861,11.7,MUY
2452497.4,11.6,KTO
2452497.5153,11.6,MUY
2452500.4035,11.6,MUY
2452501.4438,11.6,MUY
2452502.3785,11.6,MUY
2452504.459,11.6,MUY
2452506.41,11.5,KTO
2452509.4,11.5,KTO
2452516.4201,11.6,MUY
2452517.4382,11.7,MUY
2452518.416,11.7,MUY
2452519.38,11.5,KTO
2452519.4278,11.7,MUY
2452520.36,11.6,KTO
2452520.4229,11.6,MUY
2452521.36,11.6,KTO
2452521.4201,11.6,MUY
2452522.4188,11.6,MUY
2452523.7681,11.1,SXN
2452524.3965,11.6,MUY
2452527.3938,11.6,MUY
2452528.4076,11.6,MUY
2452530.3993,11.6,MUY
2452530.52,11.6,KTO
2452531.3792,11.6,MUY
2452533.4021,11.6,MUY
2452540.3792,11.6,MUY
2452541.3993,11.6,MUY
2452542.3792,11.6,MUY
2452544.44,11.8,KTO
2452545.4354,11.6,MUY
2452546.3951,11.6,MUY
2452547.3639,11.6,MUY
2452548.3701,11.7,MUY
2452561.7653,11.7,SXN
2452580.6313,11.7,MUY
2452582.3354,11.8,MUY
2452583.4563,11.8,MUY
2452586.3889,11.0,POX
2452586.4035,11.8,MUY
2452588.3806,11.6,MUY
2452590.2785,11.8,MUY
2452591.4299,11.5,MUY
2452593.3563,11.6,MUY
2452600.3847,11.6,MUY
2452601.2903,11.6,MUY
2452603.2993,11.6,MUY
2452608.3389,11.6,MUY
2452610.3507,11.8,MUY
2452614.3326,11.6,MUY
2452617.3396,11.6,MUY
2452618.3076,11.5,MUY
2452619.3278,11.6,MUY
2452620.2771,11.5,MUY
2452627.2722,11.6,MUY
2452634.4111,11.6,MUY
2452635.3208,11.6,MUY
2452642.3736,11.6,MUY
2452644.3257,11.6,MUY
2452645.3306,11.6,MUY
2452648.3181,11.4,MUY
2452649.2979,11.5,MUY
2452650.3097,11.6,MUY
2452655.3625,11.6,MUY
2452656.3382,11.6,MUY
2452659.2486,11.6,MUY
2452661.3243,11.6,MUY
2452663.316,11.5,MUY
2452664.3118,11.5,MUY
2452665.3007,11.5,MUY
2452667.3799,11.5,MUY
2452669.3063,11.5,MUY
2452671.3167,11.4,MUY
2452674.2694,11.4,MUY
2452676.2903,11.4,MUY
2452680.3139,11.5,MUY
2452685.2938,12.0,MUY
2452687.2847,12.3,MUY
2452688.2861,11.8,MUY
2452689.2826,11.8,MUY
2452690.3125,11.6,MUY
2452691.3021,11.5,MUY
2452692.3125,11.5,MUY
2452693.3188,11.5,MUY
2452695.2847,11.5,MUY
2452696.3118,11.5,MUY
2452701.3,11.5,MUY
2452705.3097,11.5,MUY
2452873.441,11.6,MUY
2452875.55,11.6,MUY
2452877.4542,11.6,MUY
2452878.4361,11.6,MUY
2452879.3701,11.6,MUY
2452879.389,12.6,SPK
2452879.644,12.7,SPK
2452885.4229,11.7,MUY
2452886.4257,11.7,MUY
2452887.4375,11.7,MUY
2452890.4229,11.7,MUY
2452896.4028,11.6,MUY
2452897.4049,11.6,MUY
2452898.4014,11.6,MUY
2452899.3965,11.6,MUY
2452900.4049,11.6,MUY
2452901.3868,11.6,MUY
2452902.3986,11.6,MUY
2452902.6473,11.5,SUS
2452903.3972,11.7,MUY
2452903.5163,11.5,SUS
2452903.6531,11.5,SUS
2452904.3951,11.7,MUY
2452906.4264,11.5,SUS
2452906.6299,11.6,MUY
2452907.3549,11.6,MUY
2452907.477,11.4,SUS
2452907.66,11.6,SUS
2452908.3924,11.6,MUY
2452908.5692,11.5,SUS
2452909.4515,11.5,SUS
2452911.6528,11.6,MUY
2452912.375,11.6,MUY
2452913.3597,11.6,MUY
2452915.4078,11.5,SUS
2452918.35,11.6,MUY
2452920.6417,11.6,MUY
2452922.3868,11.6,MUY
2452927.3576,11.6,MUY
2452928.375,11.6,MUY
2452929.366,12.0,MUY
2452930.3514,11.9,MUY
2452931.3701,11.6,MUY
2452931.4063,11.5,SUS
2452932.3833,11.6,MUY
2452933.6479,11.6,MUY
2452934.4319,11.6,MUY
2452936.3486,11.4,MUY
2452937.3583,11.4,MUY
2452939.3569,11.4,MUY
2452940.3458,11.4,MUY
2452941.4104,11.4,MUY
2452943.4778,11.5,SUS
2452944.2903,11.4,MUY
2452945.3076,11.6,MUY
2452947.4479,11.5,MUY
2452949.2549,11.6,MUY
2452952.5118,11.5,MUY
2452956.4708,11.4,MUY
2452958.2847,11.4,MUY
2452960.2951,11.5,MUY
2452968.4153,11.5,MUY
2452969.2313,11.5,MUY
2452970.4194,11.4,MUY
2452971.3979,11.4,MUY
2452980.2993,11.6,MUY
2452981.2743,11.6,MUY
2452983.275,11.8,MUY
2452984.3854,11.5,MUY
2452987.4368,11.5,MUY
2452988.3444,11.4,MUY
2452991.2965,11.5,MUY
2452992.3118,11.5,MUY
2452994.3833,11.5,MUY
2452996.3931,11.5,MUY
2453003.3368,11.5,MUY
