# JD             Magnitude   Uncertainty   HQuncertainty   Band Observer_Code Comment_Code(s) Comp_Star_1 Comp_Star_2 Charts         Comments                                         Transfomed Airmass   Validation_Flag Cmag   Kmag   HJD   Star_Name Observer_Affiliation Measurement_Method Grouping_Method ADS_Reference   Digitizer   Credit
  2451421.44     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             ""                                               ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451425.56     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 04.06"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451429.44     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 07.94"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451430.4      11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 08.90"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451432.52     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 11.02"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451433.42     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 11.92"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451434.4      13.2        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 12.90"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451434.56     12.5        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 13.06"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451435.54     11.7        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 14.04"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451436.54     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 15.04"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451437.53     11.7        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 16.03"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451440.33     11.7        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 18.83"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451447.53     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "EP 26.03"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451462.31     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "CT 10.81"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451468.32     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "CT 16.82"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451479.3      11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "CT 27.80"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451481.34     11.7        ""            ""              Vis. KTO  "" ""          ""          ""             "CT 29.84"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451484.25     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "OV 01.75"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451485.24     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "OV 02.74"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451493.21     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "OV 10.71"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451509.26     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "OV 26.76"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
  2451513.17     11.8        ""            ""              Vis. KTO  "" ""          ""          ""             "OV 30.67"                                       ""     ""        V ""     ""     ""    "RZ PSC" ""    STD ""     ""              ""          ""    
