MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1126006065276,11.41,0.05,17.42513,27.95039,54006.34274,0
1126006065276,11.41,0.05,17.42519,27.95038,54006.35004,0
1126006065276,11.38,0.05,17.42516,27.95028,54006.35737,0
1126006065276,11.35,0.05,17.42519,27.95041,54006.36462,0
1126006065276,11.37,0.05,17.42517,27.95038,54119.08114,0
1126006065276,11.38,0.05,17.42514,27.95039,54119.08713,0
1126006065276,11.05,0.05,17.42532,27.95046,54119.09311,0
1126006065276,11.42,0.05,17.42517,27.95042,54119.09912,0
1126006065276,11.38,0.05,17.42521,27.95037,54299.41650,0
1126006065276,11.35,0.05,17.42527,27.95037,54299.42378,0
1126006065276,11.34,0.05,17.42528,27.95034,54299.43110,0
1126006065276,11.37,0.05,17.42528,27.95034,54299.43843,0
1126006065276,11.38,0.05,17.42541,27.95046,54266.45255,0
1126006065276,11.24,0.05,17.42529,27.95045,54266.45617,0
1126006065276,11.40,0.05,17.42537,27.95044,54266.45978,0
1126006065276,11.36,0.05,17.42534,27.95042,54266.46353,0
1126006065276,11.36,0.05,17.42521,27.95026,54405.23686,0
1126006065276,11.35,0.05,17.42524,27.95026,54405.24388,0
1126006065276,11.35,0.05,17.42522,27.95028,54405.25093,0
1126006065276,11.35,0.05,17.42525,27.95026,54405.25795,0
1126006065276,11.37,0.05,17.42524,27.95033,54417.25407,0
1126006065276,11.34,0.05,17.42517,27.95035,54417.26132,0
1126006065276,11.32,0.05,17.42517,27.95028,54417.26866,0
1126006065276,11.37,0.05,17.42524,27.95032,54417.27593,0
1126006065276,11.61,0.05,17.42520,27.95032,54423.06728,0
1126006065276,11.59,0.05,17.42523,27.95035,54423.07716,0
1126006065276,11.57,0.05,17.42523,27.95031,54423.08699,0
1126006065276,11.59,0.05,17.42529,27.95037,54423.09678,0
1126006065276,11.43,0.05,17.42521,27.95029,54382.20378,0
1126006065276,11.26,0.05,17.42527,27.95025,54394.23665,0
1126006065276,11.26,0.05,17.42524,27.95026,54394.24743,0
1126006065276,11.26,0.05,17.42525,27.95024,54394.25822,0
1126006065276,11.29,0.05,17.42527,27.95024,54394.26898,0
1126006065276,11.37,0.05,17.42524,27.95028,54356.37316,0
1126006065276,11.36,0.05,17.42523,27.95027,54356.38241,0
1126006065276,11.36,0.05,17.42523,27.95028,54356.39158,0
1126006065276,11.34,0.05,17.42521,27.95028,54356.40072,0
1126006065276,11.34,0.05,17.42520,27.95027,54363.26682,0
1126006065276,11.36,0.05,17.42526,27.95025,54363.27392,0
1126006065276,11.36,0.05,17.42526,27.95025,54363.28102,0
