## (from tabmap V5.95 (2014-10-19)) 2015-07-08T10:36:32
#---------------------------------------------------------------------------
#-- J/AJ/118/1043 Herbig Ae/Be stars catalog (Herbst+, 1999)
#--------------------------------------------------------------------------
#---Table: J/AJ/118/1043/./other/rz_psc.dat Other stars individual light curves  (22 records)
#-------------------------------------------------------------------------------
#     Label Format Unit  Explanations
#-------------------------------------------------------------------------------
#        JD F9.3   d     Julian date (JD-2440000) (1)
#      Vmag F5.2   mag   V magnitude
#       U-B F5.2   mag   ?=99.99 U-B colour index
#       B-V F5.2   mag   ?=99.99 B-V colour index
#       V-R F5.2   mag   ?=99.99 V-R colour index
#       R-I F5.2   mag   ?=99.99 R-I colour index
#       Ref A2     ---   Reference in refs.dat file
#      Note A1     ---   [*] Note on V-R colour index (2)
#-------------------------------------------------------------------------------
#Note (1): JD may be negative (for dates before 2440000)
#Note (2): *: the V-R magnitudes given were made in the Johnson system
#-------------------------------------------------------------------------------
--------------------------------------------
#         |     |     |     |     |     |  |N
#         |     |     |     |     |     |  |o
#         |     |     |     |     |     | R|t
       JD| Vmag|  U-B|  B-V|  V-R|  R-I|ef|e
 8160.417|11.72|99.99| 0.81| 0.62|99.99|86|*
 8161.415|11.88|99.99| 0.87| 0.68|99.99|86|*
 8162.423|11.70|99.99| 0.70| 0.63|99.99|86|*
 8163.394|11.65| 0.13| 0.72| 0.55|99.99|86|*
 8172.302|11.78|99.99| 0.63| 0.69|99.99|86|*
 8174.281|11.79|99.99| 0.81| 0.63|99.99|86|*
 8175.313|11.60|99.99| 0.74| 0.56|99.99|86|*
 8177.309|11.71| 0.22| 0.74| 0.60|99.99|86|*
 8178.265|11.72| 0.20| 0.75| 0.63|99.99|86|*
 8181.305|11.77|99.99| 0.79| 0.66|99.99|86|*
 8182.264|11.62| 0.12| 0.74| 0.58|99.99|86|*
 8184.274|11.63| 0.20| 0.76| 0.59|99.99|86|*
 8185.272|11.70| 0.14| 0.73| 0.60|99.99|86|*
 8186.300|12.12| 0.11| 0.73| 0.61|99.99|86|*
 8189.300|11.69| 0.15| 0.79| 0.57|99.99|86|*
 8190.298|11.66| 0.12| 0.74| 0.57|99.99|86|*
 8200.241|11.86| 0.00| 0.78| 0.64|99.99|86|*
 8201.214|12.31| 0.30| 0.90| 0.76|99.99|86|*
 8201.278|12.11|99.99| 0.87| 0.71|99.99|86|*
 8202.195|11.70| 0.20| 0.78| 0.58|99.99|86|*
 8202.282|11.69|99.99| 0.77| 0.62|99.99|86|*
 8203.283|11.79|99.99| 0.85| 0.64|99.99|86|*
 8204.247|11.76| 0.19| 0.78| 0.65|99.99|86|*
 8206.219|11.68| 0.16| 0.74| 0.57|99.99|86|*
 8211.204|11.53|99.99| 0.74|99.99|99.99|86|*
 8213.292|11.62| 0.10| 0.73| 0.57|99.99|86|*
 8215.257|11.87| 0.13| 0.73| 0.60|99.99|86|*
 8216.187|12.04|99.99| 0.82| 0.65|99.99|86|*
 8217.146|11.97| 0.33| 0.84| 0.68|99.99|86|*
 8217.260|12.03|99.99| 0.86| 0.71|99.99|86|*
 8218.235|11.73| 0.17| 0.76| 0.62|99.99|86|*
 8220.161|11.62| 0.14| 0.73| 0.60|99.99|86|*
 8221.199|11.63|99.99| 0.79| 0.58|99.99|86|*
 8224.161|11.64|99.99| 0.77| 0.58|99.99|86|*
 8227.206|11.77|99.99| 0.79| 0.63|99.99|86|*
 8228.165|11.78|99.99| 0.78| 0.63|99.99|86|*
