\INPUT_FILE = /mscadata/ETSS-prep/KELT/testall/raw/KELT_N02_lc_30387_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:14:20 2006"               
\STOP_DATE = "Mon Nov 24, 09:41:52 2008"               
\fixlen = T
\NUMRECORDS = 636      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Apr 09, 14:56:02 2015
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|        double|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454743.944759 15.79890 0.02222 
 2454743.954740 15.77343 0.02222 
 2454743.964728 15.80821 0.02270 
 2454743.974897 15.84118 0.02241 
 2454743.985052 15.83596 0.02362 
 2454743.995206 15.81711 0.02400 
 2454744.007650 15.84706 0.02256 
 2454744.017637 15.79040 0.02815 
 2454745.878854 15.80331 0.02103 
 2454745.891274 15.84500 0.02009 
 2454745.903685 15.79278 0.02199 
 2454745.916096 15.80194 0.02195 
 2454745.928556 15.79110 0.02343 
 2454745.938544 15.76477 0.02458 
 2454745.948538 15.86218 0.02357 
 2454745.958518 15.80964 0.02388 
 2454745.968687 15.80824 0.02516 
 2454745.978855 15.81645 0.02671 
 2454745.989029 15.80102 0.02704 
 2454746.001499 15.81798 0.02449 
 2454746.011514 15.79869 0.02678 
 2454746.021495 15.78518 0.03913 
 2454746.878803 15.79605 0.02426 
 2454746.891213 15.79530 0.02356 
 2454746.903626 15.76718 0.02512 
 2454746.916033 15.81762 0.02344 
 2454746.926002 15.85583 0.02531 
 2454746.935990 15.76006 0.02754 
 2454746.945987 15.78321 0.02698 
 2454746.955971 15.71984 0.02778 
 2454746.966134 15.79934 0.02664 
 2454746.976283 15.74104 0.02910 
 2454746.986444 15.74399 0.02951 
 2454746.998903 15.82473 0.02663 
 2454747.008890 15.82972 0.02748 
 2454747.018879 15.85761 0.03096 
 2454747.875782 15.84500 0.02354 
 2454747.888198 15.84478 0.02240 
 2454747.900611 15.81612 0.02333 
 2454747.913019 15.86003 0.02195 
 2454747.923002 15.81662 0.02407 
 2454747.933005 15.82290 0.02519 
 2454747.942994 15.84199 0.02472 
 2454747.952982 15.80885 0.02579 
 2454747.963143 15.79026 0.02573 
 2454747.973294 15.82571 0.02630 
 2454747.983452 15.80397 0.02706 
 2454747.995907 15.86407 0.02519 
 2454748.005916 15.81737 0.02800 
 2454748.015900 15.83152 0.03052 
 2454748.873158 15.78389 0.02371 
 2454748.885531 15.81778 0.02282 
 2454748.897909 15.83507 0.02402 
 2454748.910282 15.81441 0.02362 
 2454748.920242 15.80690 0.02318 
 2454748.930181 15.78990 0.02536 
 2454748.940153 15.82969 0.02456 
 2454748.950111 15.78979 0.02583 
 2454748.960249 15.81840 0.02560 
 2454748.970383 15.79762 0.02614 
