\INPUT_FILE = /mscadata/ETSS-prep/KELT/testall/raw/KELT_N02_lc_34612_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:52:02 2006"               
\STOP_DATE = "Mon Nov 24, 04:52:01 2008"               
\fixlen = T
\NUMRECORDS = 1680     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Apr 09, 16:37:19 2015
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|        double|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454056.694258 15.65109 0.02401 
 2454056.698778 15.68843 0.02359 
 2454056.703301 15.68618 0.02309 
 2454056.707823 15.70470 0.02344 
 2454056.712342 15.72025 0.02302 
 2454056.716867 15.70671 0.02316 
 2454056.721390 15.69074 0.02360 
 2454056.725916 15.68309 0.02345 
 2454056.730439 15.70618 0.02338 
 2454056.734956 15.69122 0.02356 
 2454056.739481 15.72548 0.02396 
 2454057.646788 15.70487 0.02474 
 2454057.651312 15.68693 0.02469 
 2454057.655835 15.68341 0.02460 
 2454057.661199 15.69899 0.02407 
 2454057.666562 15.71301 0.02436 
 2454057.671926 15.73333 0.02440 
 2454057.677295 15.73509 0.02406 
 2454057.682659 15.72734 0.02458 
 2454057.684762 15.71929 0.02414 
 2454057.689285 15.71633 0.02396 
 2454057.693801 15.70688 0.02426 
 2454057.698325 15.70568 0.02390 
 2454057.702845 15.70524 0.02422 
 2454057.707365 15.67528 0.02450 
 2454057.711889 15.72695 0.02386 
 2454057.716414 15.71808 0.02421 
 2454057.720939 15.68213 0.02444 
 2454057.725461 15.69894 0.02407 
 2454057.729980 15.71601 0.02421 
 2454057.734504 15.68072 0.02507 
 2454058.647154 15.71128 0.02295 
 2454058.651674 15.71775 0.02270 
 2454058.656194 15.73249 0.02273 
 2454058.661559 15.70968 0.02331 
 2454058.666927 15.70446 0.02281 
 2454058.672296 15.71108 0.02336 
 2454058.677659 15.69910 0.02320 
 2454058.679763 15.68752 0.02275 
 2454058.684287 15.74084 0.02300 
 2454058.688809 15.68599 0.02328 
 2454058.693327 15.70344 0.02321 
 2454058.697851 15.68265 0.02289 
 2454058.702376 15.74485 0.02317 
 2454058.706901 15.70276 0.02317 
 2454058.711423 15.67834 0.02320 
 2454058.715942 15.72429 0.02281 
 2454058.720466 15.72006 0.02286 
 2454058.724991 15.71312 0.02307 
 2454058.729514 15.71310 0.02260 
 2454058.734030 15.74541 0.02233 
 2454060.585699 15.67813 0.02634 
 2454060.590221 15.66874 0.02658 
 2454060.594739 15.66952 0.02674 
 2454060.599264 15.71627 0.02654 
 2454060.603787 15.69003 0.02650 
 2454060.608304 15.68756 0.02689 
 2454060.612828 15.71885 0.02597 
 2454060.617354 15.68581 0.02641 
 2454060.621879 15.74172 0.02577 
 2454060.626402 15.74261 0.02575 
 2454060.630919 15.73291 0.02568 
 2454060.635444 15.71576 0.02480 
 2454060.639964 15.69527 0.02518 
 2454060.644482 15.70758 0.02463 
 2454060.649008 15.66385 0.02435 
 2454060.654378 15.66784 0.02408 
 2454060.659749 15.70889 0.02444 
 2454060.665120 15.69430 0.02381 
 2454060.670489 15.72468 0.02357 
 2454060.672594 15.72979 0.02342 
 2454060.677114 15.71038 0.02412 
 2454060.681642 15.69153 0.02346 
 2454060.686161 15.73322 0.02372 
 2454060.690685 15.66833 0.02300 
 2454060.695207 15.69655 0.02293 
 2454060.699724 15.72708 0.02241 
 2454060.704247 15.65953 0.02286 
 2454060.710915 15.70650 0.02247 
 2454060.715438 15.70521 0.02265 
 2454060.719956 15.69772 0.02260 
 2454060.724479 15.69225 0.02247 
 2454060.729003 15.70291 0.02240 
 2454061.585665 15.70705 0.02566 
 2454061.590187 15.71247 0.02689 
 2454061.594706 15.75044 0.02580 
 2454061.599231 15.71246 0.02541 
 2454061.603756 15.66414 0.02587 
 2454061.608281 15.71416 0.02539 
 2454061.612804 15.69326 0.02628 
 2454061.617319 15.70267 0.02546 
 2454061.621844 15.70821 0.02603 
 2454061.626366 15.70248 0.02554 
 2454061.630884 15.72452 0.02502 
 2454061.635409 15.69022 0.02499 
 2454061.639935 15.71500 0.02423 
 2454061.644460 15.70904 0.02470 
 2454061.649823 15.70891 0.02430 
 2454061.655191 15.71812 0.02361 
 2454061.660559 15.73642 0.02396 
 2454061.665929 15.69467 0.02379 
 2454061.668027 15.71841 0.02327 
 2454061.672549 15.72705 0.02331 
 2454061.677070 15.66064 0.02365 
 2454061.681596 15.67158 0.02318 
 2454061.686122 15.68532 0.02298 
 2454061.690647 15.70200 0.02302 
 2454061.695166 15.66842 0.02331 
 2454061.699690 15.72354 0.02261 
 2454061.704212 15.70167 0.02266 
 2454061.708736 15.69198 0.02238 
 2454061.713263 15.69982 0.02218 
 2454061.717787 15.69328 0.02252 
 2454061.722306 15.75450 0.02212 
 2454077.584156 15.75768 0.02417 
 2454077.588673 15.73025 0.02408 
 2454077.593185 15.75647 0.02352 
 2454077.597700 15.75243 0.02339 
 2454077.602221 15.74232 0.02363 
 2454077.607584 15.76467 0.02571 
 2454077.612947 15.84719 0.03120 
 2454077.618315 15.74190 0.02499 
 2454077.623677 15.73727 0.02404 
