col1,col2,col3
2456208.878768,15.828015937656223,0.0292
2456208.888483,15.841606605250515,0.03246
2456208.89819,15.84059655563534,0.03376
2456208.944598,15.817045398766643,0.03373
2456208.951937,15.822505666983334,0.03359
2456208.959279,15.865177763101693,0.03468
2456208.966625,15.828115942568616,0.03496
2456208.971386,15.844726758517197,0.03439
2456208.976144,15.844916767850744,0.03558
2456208.980915,15.834886275137665,0.03592
2456208.985701,15.84764690195909,0.03498
2456209.772928,15.7771,0.02811
2456209.790823,15.78409,0.03167
2456209.808614,15.7951,0.0315
2456209.826417,15.78766,0.03161
2456209.927129,15.81002505391661,0.0335
2456209.940326,15.833916227487448,0.03558
2456209.953499,15.860097513552098,0.03484
2456209.966707,15.833446204399197,0.03409
2456209.973937,15.83323619408317,0.03771
2456209.98117,15.751822194903522,0.03818
2456209.98839,15.753542279396692,0.03855
2456210.706079,15.77852,0.03133
2456210.759664,15.82322,0.03073
2456210.777727,15.77171,0.0303
2456210.800465,15.78001,0.02949
2456210.820681,15.78695,0.02985
2456210.941766,15.811925147252088,0.03299
2456210.954959,15.79982455285246,0.0327
2456210.96815,15.795384334742183,0.03595
2456210.97539,15.840876569390042,0.03547
2456210.982625,15.809295018056137,0.03475
2456211.686988,15.73951,0.03318
2456211.709551,15.74864,0.03127
2456211.760924,15.73516,0.02982
2456211.783489,15.74233,0.02975
2456211.806036,15.77701,0.03025
2456211.826208,15.74634,0.02986
2456211.845741,15.839536503563968,0.02923
2456211.95799,15.907519843009153,0.03393
2456211.975887,15.819485518629046,0.03373
2456213.671561,15.77703,0.03485
2456213.694423,15.77939,0.03403
2456213.751028,15.7997,0.03258
2456213.773816,15.78356,0.03134
2456213.796628,15.77477,0.03134
2456213.816953,15.78066,0.03158
2456213.856704,15.80939502296853,0.02872
2456213.87698,15.820625574630334,0.02888
2456213.897311,15.866757840717511,0.02991
2456213.955801,15.788744008559247,0.03461
2456213.978403,15.8076849389666,0.03487
2456214.686135,15.80146,0.03634
2456214.746915,15.75923,0.03215
2456214.769507,15.78308,0.03111
2456214.792079,15.72926,0.02987
2456214.812263,15.7179,0.02878
2456214.851968,15.797584442814843,0.02603
2456214.872239,15.706899988256307,0.02733
2456214.962881,15.791944165755842,0.03557
2456214.98544,15.7988945071672,0.03459
2456215.676815,15.77693,0.03183
2456215.737536,15.7493,0.03355
2456215.760619,15.79697,0.03235
2456215.783467,15.72867,0.03191
2456215.806164,15.74531,0.03277
2456215.845775,15.774983332613886,0.03288
2456215.933828,15.754702336380458,0.03663
2456215.958757,15.768263002501032,0.03553
2456215.981319,15.779063533039546,0.03372
2456216.673017,15.73314,0.03592
2456216.756236,15.76139,0.03145
2456216.778758,15.70099,0.03283
2456216.801301,15.66771,0.03148
2456216.863482,15.73412132540985,0.03118
2456216.926433,15.758622528946288,0.03469
2456216.951358,15.758472521577698,0.0352
2456216.973872,15.78244369907845,0.03612
